class_id,class_name,iou,gt_points,pred_points
1,Car,0.3962,69475897,165371212
2,Truck,0.4472,7765250,7104168
3,Bus,0.5337,3272170,1834642
4,Other Vehicle,0.265,1828020,1215596
5,Motorcyclist,0.0,503,3223
6,Bicyclist,0.5717,248386,189499
7,Pedestrian,0.7147,5913634,4752400
8,Sign,0.554,4865385,4065648
9,Traffic Light,0.0544,502838,61628
10,Pole,0.6002,8645906,7734454
11,Construction Cone,0.5509,488421,384522
12,Bicycle,0.4917,171792,101874
13,Motorcycle,0.6711,197329,167138
14,Building,0.8149,243989204,215260935
15,Vegetation,0.7631,159686476,137898018
16,Tree Trunk,0.5394,13575661,10449731
17,Curb,0.5732,11267605,10731583
18,Road,0.7922,190620777,174646045
19,Lane Marker,0.2938,5444214,2421990
20,Other Ground,0.1117,4198428,747423
21,Walkable,0.6556,74503790,71408308
22,Sidewalk,0.6314,45916607,36028256
